nrInst,nrAgencia,cdClient,nmClient,nrCpfCnpj,nrContrato,dtContrato,qtPrestacoes,vlTotal,cdProduto,dsProduto,cdCarteira,dsCarteira,nrProposta,nrPresta,tpPresta,nrSeqPre,dtVctPre,vlPresta,vlMora,vlMulta,vlOutAcr,vlIof,vlDescon,vlAtual,idSituac,idSitVen
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,2,Original,0,20220406,17524.03,29196.96,536.4,0,0,0,47257.39,Aberta,Vencida
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,3,Original,0,20241113,98750.27,43130.98,77238.37,0,0,0,219119.62,Aberta,Vencida
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,4,Original,0,20221004,55430.51,21312.43,76817.09,0,0,0,153560.03,Aberta,Vencida
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,5,Original,0,20230925,88297.91,48666.68,87550.74,0,0,0,224515.33000000002,Aberta,Vencida
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,6,Original,0,20231023,43609.6,15383.17,39056.15,0,0,0,98048.92,Aberta,Vencida
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,2,Original,0,20230502,54815.71,69011.51,87297.2,0,0,0,211124.41999999998,Aberta,Vencida
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,3,Original,0,20240624,11927.09,8993.54,55743.14,0,0,0,76663.77,Aberta,Vencida
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,4,Original,0,20220706,27447.07,85413.37,19757.46,0,0,0,132617.9,Aberta,Vencida
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,5,Original,0,20230917,68868.05,34423.42,16702.74,0,0,0,119994.21,Aberta,Vencida
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,6,Original,0,20240714,93463.14,70230.19,77932.46,0,0,0,241625.79000000004,Aberta,Vencida
1536,19,22984,CLIENTE 3,448750507023,636046,20231013,3,45521.15,1704,CDC PESSOA JURIDICA,3,CRÉDITO DIRETO AO CONSUMIDOR,396978,2,Original,0,20221113,56846.65,55541.9,38328.24,0,0,0,150716.79,Aberta,Vencida
1536,19,22984,CLIENTE 3,448750507023,636046,20231013,3,45521.15,1704,CDC PESSOA JURIDICA,3,CRÉDITO DIRETO AO CONSUMIDOR,396978,3,Original,0,20240314,83115.55,32144,63088.13,0,0,0,178347.68,Aberta,Vencida
1536,19,22984,CLIENTE 3,448750507023,636046,20231013,3,45521.15,1704,CDC PESSOA JURIDICA,3,CRÉDITO DIRETO AO CONSUMIDOR,396978,4,Original,0,20230217,81565.13,68893.21,85232.52,0,0,0,235690.86000000004,Aberta,Vencida
458,44,91342,CLIENTE 4,352869205024,702186,20230509,3,87737.91,826,CDC PESSOA JURIDICA,7,CRÉDITO DIRETO AO CONSUMIDOR,726379,2,Original,0,20240917,87390.74,74254.13,29020.67,0,0,0,190665.53999999998,Aberta,Vencida
458,44,91342,CLIENTE 4,352869205024,702186,20230509,3,87737.91,826,CDC PESSOA JURIDICA,7,CRÉDITO DIRETO AO CONSUMIDOR,726379,3,Original,0,20241114,93005.63,8499.78,38610.6,0,0,0,140116.01,Aberta,Vencida
458,44,91342,CLIENTE 4,352869205024,702186,20230509,3,87737.91,826,CDC PESSOA JURIDICA,7,CRÉDITO DIRETO AO CONSUMIDOR,726379,4,Original,0,20241025,20672.31,81410.23,11767.55,0,0,0,113850.09,Aberta,Vencida
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,49556.23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,2,Original,0,20220204,96790.3,57650.89,12174.66,0,0,0,166615.85,Aberta,Vencida
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,49556.23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,3,Original,0,20220703,64563.78,13485.95,88080.69,0,0,0,166130.41999999998,Aberta,Vencida
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,49556.23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,4,Original,0,20240323,87727.71,14437.2,90223.16,0,0,0,192388.07,Aberta,Vencida
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,49556.23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,5,Original,0,20231216,19759.75,49119.06,61920.65,0,0,0,130799.45999999999,Aberta,Vencida
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,49556.23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,6,Original,0,20230207,31472.96,90235.96,72897.24,0,0,0,194606.16000000003,Aberta,Vencida
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,49556.23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,7,Original,0,20230717,30657.65,88970.62,48836.56,0,0,0,168464.83,Aberta,Vencida
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,49556.23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,8,Original,0,20240602,32250.79,16638.38,53163.71,0,0,0,102052.88,Aberta,Vencida
350,6,31108,CLIENTE 6,394454624050,78905,20220223,8,38418.9,1691,CDC PESSOA JURIDICA,12,CRÉDITO DIRETO AO CONSUMIDOR,542681,2,Original,0,20241227,76961.47,20178.31,41262.41,0,0,0,138402.19,Aberta,Vencida
350,6,31108,CLIENTE 6,394454624050,78905,20220223,8,38418.9,1691,CDC PESSOA JURIDICA,12,CRÉDITO DIRETO AO CONSUMIDOR,542681,3,Original,0,20231206,52739.41,81948.39,8695.78,0,0,0,143383.58,Aberta,Vencida
350,6,31108,CLIENTE 6,394454624050,78905,20220223,8,38418.9,1691,CDC PESSOA JURIDICA,12,CRÉDITO DIRETO AO CONSUMIDOR,542681,4,Original,0,20221126,95772.33,7034.24,85972.06,0,0,0,188778.63,Aberta,Vencida
350,6,31108,CLIENTE 6,394454624050,78905,20220223,8,38418.9,1691,CDC PESSOA JURIDICA,12,CRÉDITO DIRETO AO CONSUMIDOR,542681,5,Original,0,20220325,84251.51,5410.75,77865.65,0,0,0,167527.90999999997,Aberta,Vencida
350,6,31108,CLIENTE 6,394454624050,78905,20220223,8,38418.9,1691,CDC PESSOA JURIDICA,12,CRÉDITO DIRETO AO CONSUMIDOR,542681,6,Original,0,20221217,57374.13,93619.08,998.23,0,0,0,151991.44,Aberta,Vencida
350,6,31108,CLIENTE 6,394454624050,78905,20220223,8,38418.9,1691,CDC PESSOA JURIDICA,12,CRÉDITO DIRETO AO CONSUMIDOR,542681,7,Original,0,20220623,76907.82,71322.18,77701.51,0,0,0,225931.51,Aberta,Vencida
350,6,31108,CLIENTE 6,394454624050,78905,20220223,8,38418.9,1691,CDC PESSOA JURIDICA,12,CRÉDITO DIRETO AO CONSUMIDOR,542681,8,Original,0,20230525,94401.55,89456.48,76449.46,0,0,0,260307.49,Aberta,Vencida
